Date,Price,#N/A,#N/A
2/6/18, $155.80 ,43137,
2/7/18, $154.76 ,43138,
2/8/18, $150.30 ,43139,
2/9/18, $149.21 ,43140,
2/12/18, $148.85 ,43143,
2/13/18, $149.77 ,43144,
2/14/18, $156.85 ,43145,
2/15/18, $161.27 ,43146,
2/16/18, $161.86 ,43147,
2/20/18, $164.00 ,43151,
2/21/18, $165.54 ,43152,
2/22/18, $163.70 ,43153,
2/23/18, $165.42 ,43154,
2/26/18, $175.98 ,43157,
2/27/18, $173.11 ,43158,
2/28/18, $174.14 ,43159,
3/1/18, $171.14 ,43160,
3/2/18, $170.66 ,43161,
3/5/18, $173.22 ,43164,
3/6/18, $172.97 ,43165,
3/7/18, $172.97 ,43166,
3/8/18, $174.25 ,43167,
3/9/18, $174.44 ,43168,
3/12/18, $178.12 ,43171,
3/13/18, $176.03 ,43172,
3/14/18, $176.71 ,43173,
3/15/18, $176.38 ,43174,
3/16/18, $173.90 ,43175,
3/19/18, $169.97 ,43178,
3/20/18, $172.53 ,43179,
3/21/18, $174.04 ,43180,
3/22/18, $174.28 ,43181,
3/23/18, $172.33 ,43182,
3/26/18, $174.93 ,43185,
3/27/18, $173.71 ,43186,
3/28/18, $172.94 ,43187,
3/29/18, $175.28 ,43188,
4/2/18, $173.15 ,43192,
4/3/18, $172.40 ,43193,
4/4/18, $172.80 ,43194,
4/5/18, $174.55 ,43195,
4/6/18, $174.79 ,43196,
4/9/18, $175.22 ,43199,
4/10/18, $175.21 ,43200,
4/11/18, $174.17 ,43201,
4/12/18, $171.62 ,43202,
4/13/18, $172.20 ,43203,
4/16/18, $173.08 ,43206,
4/17/18, $173.03 ,43207,
4/18/18, $174.12 ,43208,
4/19/18, $173.69 ,43209,
4/20/18, $174.46 ,43210,
4/23/18, $172.85 ,43213,
4/24/18, $172.23 ,43214,
4/25/18, $171.85 ,43215,
4/26/18, $172.92 ,43216,
4/27/18, $174.80 ,43217,
4/30/18, $173.30 ,43220,
5/1/18, $170.36 ,43221,
5/2/18, $169.69 ,43222,
5/3/18, $175.98 ,43223,
5/4/18, $179.03 ,43224,
5/7/18, $178.68 ,43227,
5/8/18, $177.83 ,43228,
5/9/18, $179.21 ,43229,
5/10/18, $180.33 ,43230,
5/11/18, $181.27 ,43231,
5/14/18, $186.05 ,43234,
5/15/18, $190.07 ,43235,
5/16/18, $190.55 ,43236,
5/17/18, $190.08 ,43237,
5/18/18, $190.27 ,43238,
5/21/18, $189.16 ,43241,
5/22/18, $187.93 ,43242,
5/23/18, $188.26 ,43243,
5/24/18, $189.31 ,43244,
5/25/18, $189.38 ,43245,
5/29/18, $187.71 ,43249,
5/30/18, $188.73 ,43250,
5/31/18, $186.86 ,43251,
6/1/18, $188.03 ,43252,
6/4/18, $188.03 ,43255,
6/5/18, $189.30 ,43256,
6/6/18, $191.40 ,43257,
6/7/18, $193.64 ,43258,
6/8/18, $195.63 ,43259,
6/11/18, $196.46 ,43262,
6/12/18, $197.02 ,43263,
6/13/18, $195.17 ,43264,
6/14/18, $195.78 ,43265,
6/15/18, $196.03 ,43266,
6/18/18, $199.67 ,43269,
6/19/18, $196.82 ,43270,
6/20/18, $201.36 ,43271,
6/21/18, $198.71 ,43272,
6/22/18, $198.70 ,43273,
6/25/18, $195.03 ,43276,
6/26/18, $193.72 ,43277,
6/27/18, $189.85 ,43278,
6/28/18, $216.27 ,43279,
6/29/18, $221.19 ,43280,
7/2/18, $229.17 ,43283,
7/3/18, $225.57 ,43284,
7/5/18, $227.51 ,43286,
7/6/18, $233.39 ,43287,
7/9/18, $229.63 ,43290,
7/10/18, $228.32 ,43291,
7/11/18, $228.07 ,43292,
7/12/18, $229.02 ,43293,
7/13/18, $232.70 ,43294,
7/16/18, $231.93 ,43297,
7/17/18, $231.47 ,43298,
7/18/18, $230.33 ,43299,
7/19/18, $230.31 ,43300,
7/20/18, $230.86 ,43301,
7/23/18, $229.30 ,43304,
7/24/18, $223.35 ,43305,
7/25/18, $224.33 ,43306,
7/26/18, $224.85 ,43307,
7/27/18, $221.58 ,43308,
7/30/18, $220.78 ,43311,
7/31/18, $222.61 ,43312,
8/1/18, $220.74 ,43313,
8/2/18, $223.18 ,43314,
8/3/18, $221.87 ,43315,
8/6/18, $224.72 ,43318,
8/7/18, $228.30 ,43319,
8/8/18, $225.71 ,43320,
8/9/18, $227.08 ,43321,
8/10/18, $227.79 ,43322,
8/13/18, $220.74 ,43325,
8/14/18, $223.10 ,43326,
8/15/18, $220.96 ,43327,
8/16/18, $216.14 ,43328,
8/17/18, $212.62 ,43329,
8/20/18, $211.94 ,43332,
8/21/18, $216.07 ,43333,
8/22/18, $212.47 ,43334,
8/23/18, $211.97 ,43335,
8/24/18, $211.42 ,43336,
8/27/18, $209.60 ,43339,
8/28/18, $213.51 ,43340,
8/29/18, $216.03 ,43341,
8/30/18, $216.44 ,43342,
8/31/18, $215.31 ,43343,
9/4/18, $219.29 ,43347,
9/5/18, $215.44 ,43348,
9/6/18, $214.43 ,43349,
9/7/18, $219.92 ,43350,
9/10/18, $223.77 ,43353,
9/11/18, $221.38 ,43354,
9/12/18, $222.21 ,43355,
9/13/18, $222.86 ,43356,
9/14/18, $220.42 ,43357,
9/17/18, $217.09 ,43360,
9/18/18, $219.02 ,43361,
9/19/18, $216.25 ,43362,
9/20/18, $217.69 ,43363,
9/21/18, $216.89 ,43364,
9/24/18, $216.32 ,43367,
9/25/18, $220.74 ,43368,
9/26/18, $218.80 ,43369,
9/27/18, $222.06 ,43370,
9/28/18, $224.85 ,43371,
10/1/18, $220.88 ,43374,
10/2/18, $221.15 ,43375,
10/3/18, $220.17 ,43376,
10/4/18, $220.68 ,43377,
10/5/18, $214.37 ,43378,
10/8/18, $207.44 ,43381,
10/9/18, $207.83 ,43382,
10/10/18, $200.21 ,43383,
10/11/18, $200.17 ,43384,
10/12/18, $205.38 ,43385,
10/15/18, $207.83 ,43388,
10/16/18, $213.18 ,43389,
10/17/18, $208.34 ,43390,
10/18/18, $203.92 ,43391,
10/19/18, $204.95 ,43392,
