Prices,Date
1,2/5/18
0.989848881,2/6/18
0.97016446,2/7/18
0.973222548,2/8/18
0.972215088,2/9/18
0.966845718,2/12/18
0.971819688,2/13/18
0.960897519,2/14/18
0.965188316,2/15/18
0.965222719,2/16/18
0.969566957,2/20/18
0.975060101,2/21/18
0.969100972,2/22/18
0.987002338,2/23/18
0.985201124,2/26/18
0.984109312,2/27/18
0.976184633,2/28/18
0.969906273,3/1/18
0.962396975,3/2/18
0.962688954,3/5/18
0.963036759,3/6/18
0.969647415,3/7/18
0.974671299,3/8/18
0.983742398,3/9/18
1.003236974,3/12/18
0.98182493,3/13/18
0.985948013,3/14/18
0.980063733,3/15/18
0.973267994,3/16/18
0.97118189,3/19/18
0.967730143,3/20/18
0.965674436,3/21/18
0.967745164,3/22/18
0.956724024,3/23/18
0.954077667,3/26/18
0.949868524,3/27/18
0.944665814,3/28/18
0.947973158,3/29/18
0.93240505,4/3/18
0.920302776,4/4/18
0.929189323,4/5/18
0.930792052,4/6/18
0.922260288,4/9/18
0.917627148,4/10/18
0.918558751,4/11/18
0.920421813,4/12/18
0.918355092,4/13/18
0.950363221,4/16/18
0.954419756,4/17/18
0.962015287,4/18/18
0.954688113,4/19/18
0.952639527,4/20/18
0.943103137,4/23/18
0.945781996,4/24/18
0.947667089,4/25/18
0.94659846,4/26/18
0.947789783,4/27/18
0.949754494,4/30/18
0.945377221,5/2/18
0.948990189,5/3/18
0.970611748,5/4/18
0.978500178,5/7/18
0.979955304,5/8/18
0.983574229,5/9/18
0.970471126,5/10/18
0.972426869,5/11/18
0.974138444,5/14/18
0.984091828,5/15/18
0.990083454,5/16/18
1.001561792,5/17/18
1.008909082,5/18/18
1.010111289,5/21/18
1.021082758,5/22/18
1.016552139,5/23/18
1.020068977,5/24/18
1.017740196,5/25/18
1.017642305,5/29/18
1.015603302,5/30/18
1.012929824,5/31/18
1.018274788,6/1/18
1.014896144,6/4/18
1.015005116,6/5/18
1.003356855,6/6/18
1.009436534,6/7/18
1.014242669,6/8/18
1.024327306,6/11/18
1.025498011,6/12/18
1.03227089,6/13/18
