Date,Euro Prices,,,,Prices
2/5/18,0.81,43136,2/5/18, € 0.81 ,1.001855288
2/6/18,0.78,43137,2/5/18, € 0.81 ,0.964749536
2/7/18,0.81,43138,2/5/18, € 0.81 ,1.001855288
2/8/18,0.78,43139,2/5/18, € 0.81 ,0.964749536
2/9/18,0.77,43140,2/5/18, € 0.81 ,0.952380952
2/12/18,0.78,43143,2/5/18, € 0.81 ,0.964749536
2/13/18,0.78,43144,2/5/18, € 0.81 ,0.964749536
2/14/18,0.71,43145,2/5/18, € 0.81 ,0.87816945
2/15/18,0.73,43146,2/5/18, € 0.81 ,0.902906617
2/16/18,0.73,43147,2/5/18, € 0.81 ,0.902906617
2/20/18,0.73,43151,2/5/18, € 0.81 ,0.902906617
2/21/18,0.73,43152,2/5/18, € 0.81 ,0.902906617
2/22/18,0.71,43153,2/5/18, € 0.81 ,0.87816945
2/23/18,0.71,43154,2/5/18, € 0.81 ,0.87816945
2/26/18,0.7,43157,2/5/18, € 0.81 ,0.865800866
2/27/18,0.71,43158,2/5/18, € 0.81 ,0.87816945
2/28/18,0.72,43159,2/28/18, € 0.82 ,0.878155873
3/1/18,0.69,43160,2/28/18, € 0.82 ,0.841566045
3/2/18,0.64,43161,2/28/18, € 0.82 ,0.780582998
3/5/18,0.65,43164,2/28/18, € 0.82 ,0.792779607
3/6/18,0.64,43165,2/28/18, € 0.82 ,0.780582998
3/7/18,0.65,43166,2/28/18, € 0.82 ,0.792779607
3/8/18,0.69,43167,2/28/18, € 0.82 ,0.841566045
3/9/18,0.69,43168,2/28/18, € 0.82 ,0.841566045
3/12/18,0.69,43171,2/28/18, € 0.82 ,0.841566045
3/13/18,0.69,43172,2/28/18, € 0.82 ,0.841566045
3/14/18,0.7,43173,2/28/18, € 0.82 ,0.853762654
3/15/18,0.7,43174,2/28/18, € 0.82 ,0.853762654
3/16/18,0.69,43175,2/28/18, € 0.82 ,0.841566045
3/19/18,0.67,43178,2/28/18, € 0.82 ,0.817172826
3/20/18,0.66,43179,2/28/18, € 0.82 ,0.804976217
3/21/18,0.66,43180,2/28/18, € 0.82 ,0.804976217
3/22/18,0.67,43181,3/22/18, € 0.81 ,0.824412452
3/23/18,0.67,43182,3/22/18, € 0.81 ,0.824412452
3/26/18,0.66,43185,3/22/18, € 0.81 ,0.812107789
3/27/18,0.66,43186,3/22/18, € 0.81 ,0.812107789
3/28/18,0.65,43187,3/22/18, € 0.81 ,0.799803125
3/29/18,0.65,43188,3/22/18, € 0.81 ,0.799803125
4/3/18,0.66,43193,3/22/18, € 0.81 ,0.812107789
4/4/18,0.62,43194,3/22/18, € 0.81 ,0.762889135
4/5/18,0.62,43195,3/22/18, € 0.81 ,0.762889135
4/6/18,0.62,43196,3/22/18, € 0.81 ,0.762889135
4/9/18,0.61,43199,3/22/18, € 0.81 ,0.750584472
4/10/18,0.6,43200,3/22/18, € 0.81 ,0.738279808
4/11/18,0.59,43201,3/22/18, € 0.81 ,0.725975145
4/12/18,0.61,43202,3/22/18, € 0.81 ,0.750584472
4/13/18,0.61,43203,3/22/18, € 0.81 ,0.750584472
4/16/18,0.62,43206,3/22/18, € 0.81 ,0.762889135
4/17/18,0.62,43207,4/17/18, € 0.81 ,0.76704194
4/18/18,0.65,43208,4/17/18, € 0.81 ,0.804156872
4/19/18,0.63,43209,4/17/18, € 0.81 ,0.779413584
4/20/18,0.64,43210,4/17/18, € 0.81 ,0.791785228
4/23/18,0.62,43213,4/17/18, € 0.81 ,0.76704194
4/24/18,0.61,43214,4/17/18, € 0.81 ,0.754670296
4/25/18,0.61,43215,4/17/18, € 0.81 ,0.754670296
4/26/18,0.61,43216,4/17/18, € 0.81 ,0.754670296
4/27/18,0.61,43217,4/17/18, € 0.81 ,0.754670296
4/30/18,0.63,43220,4/17/18, € 0.81 ,0.779413584
5/2/18,0.63,43222,4/17/18, € 0.81 ,0.779413584
5/3/18,0.64,43223,4/17/18, € 0.81 ,0.791785228
5/4/18,0.65,43224,4/17/18, € 0.81 ,0.804156872
5/7/18,0.67,43227,4/17/18, € 0.81 ,0.828900161
5/8/18,0.66,43228,4/17/18, € 0.81 ,0.816528517
5/9/18,0.67,43229,4/17/18, € 0.81 ,0.828900161
5/10/18,0.64,43230,5/10/18, € 0.84 ,0.762721964
5/11/18,0.64,43231,5/10/18, € 0.84 ,0.762721964
5/14/18,0.63,43234,5/10/18, € 0.84 ,0.750804433
5/15/18,0.62,43235,5/10/18, € 0.84 ,0.738886903
5/16/18,0.61,43236,5/10/18, € 0.84 ,0.726969372
5/17/18,0.62,43237,5/10/18, € 0.84 ,0.738886903
5/18/18,0.62,43238,5/10/18, € 0.84 ,0.738886903
5/21/18,0.62,43241,5/10/18, € 0.84 ,0.738886903
5/22/18,0.62,43242,5/10/18, € 0.84 ,0.738886903
5/23/18,0.62,43243,5/10/18, € 0.84 ,0.738886903
5/24/18,0.62,43244,5/10/18, € 0.84 ,0.738886903
5/25/18,0.61,43245,5/10/18, € 0.84 ,0.726969372
5/29/18,0.61,43249,5/10/18, € 0.84 ,0.726969372
5/30/18,0.61,43250,5/10/18, € 0.84 ,0.726969372
5/31/18,0.59,43251,5/10/18, € 0.84 ,0.703134311
6/1/18,0.62,43252,5/10/18, € 0.84 ,0.738886903
6/4/18,0.62,43255,6/4/18, € 0.85 ,0.725315863
6/5/18,0.61,43256,6/4/18, € 0.85 ,0.71361722
6/6/18,0.61,43257,6/4/18, € 0.85 ,0.71361722
6/7/18,0.62,43258,6/4/18, € 0.85 ,0.725315863
6/8/18,0.61,43259,6/4/18, € 0.85 ,0.71361722
6/11/18,0.63,43262,6/4/18, € 0.85 ,0.737014506
6/12/18,0.63,43263,6/4/18, € 0.85 ,0.737014506
6/13/18,0.65,43264,6/4/18, € 0.85 ,0.760411792
6/14/18,0.66,43265,6/4/18, € 0.85 ,0.772110435
6/15/18,0.65,43266,6/4/18, € 0.85 ,0.760411792
6/18/18,0.65,43269,6/4/18, € 0.85 ,0.760411792
6/19/18,0.66,43270,6/4/18, € 0.85 ,0.772110435
6/20/18,0.66,43271,6/4/18, € 0.85 ,0.772110435
6/21/18,0.66,43272,6/4/18, € 0.85 ,0.772110435
6/22/18,0.67,43273,6/4/18, € 0.85 ,0.783809078
6/25/18,0.66,43276,6/4/18, € 0.85 ,0.772110435
