name_norm,position,player,team,pass_tds,pass_yards,rec_tds,rec_yards,receptions,rush_tds,rush_yards,interceptions,base_pts,season_pts,ppg,rec_pg,pass_yards_pg,rush_yards_pg,ypr,td_dependence,bbvor,p90,cv,skew,kurtosis
jahmyr gibbs,RB,Jahmyr Gibbs,DET,0.0,0.0,3.5,475.5,60.5,12.0,1200.5,0.0,321.1,329.24147163903615,19.367145390531537,3.5588235294117645,0.0,70.61764705882354,7.859504132231405,0.28246745325558664,174.33450632734704,378.18993582354796,0.48080297522081883,0.5036285980553458,-0.17028527689149264
bijan robinson,RB,Bijan Robinson,ATL,0.0,0.0,3.5,575.5,65.5,9.0,1163.0,0.0,314.35,322.3203257855217,18.960019163854216,3.8529411764705883,0.0,68.41176470588235,8.786259541984732,0.23268777672403596,167.21999110267035,373.3288782937859,0.4793890189944954,0.7827552289402543,0.9748417179517479
jamarr chase,WR,Ja'Marr Chase,CIN,0.0,0.0,10.5,1325.5,109.5,0.0,0.0,0.0,305.05,313.2106034329094,18.424153143112317,6.4411764705882355,0.0,0.0,12.105022831050228,0.20114261557398,155.9414855083127,366.9934626717091,0.5360664558139032,0.9378863026589387,0.9913318818804489
christian mccaffrey,RB,Christian McCaffrey,SF,0.0,0.0,4.5,550.5,60.5,8.5,925.5,0.0,286.1,293.35404869488707,17.256120511463944,3.5588235294117645,0.0,54.44117647058823,9.099173553719009,0.2658903135887058,143.04945579332573,338.82068795057074,0.5152114951985045,0.7781366555205229,0.6607634326488196
jaxon smithnjigba,WR,Jaxon Smith-Njigba,SEA,0.0,0.0,8.5,1338.0,99.5,0.0,0.0,0.0,284.3,291.90550583830895,17.17091210813582,5.852941176470588,0.0,0.0,13.447236180904522,0.1747140734928436,140.33191668942345,341.9071074977186,0.5551523196277819,0.7799713790033029,0.40628967862046084
amonra st brown,WR,Amon-Ra St. Brown,DET,0.0,0.0,9.5,1238.0,103.5,0.0,0.0,0.0,284.3,291.90550583830895,17.17091210813582,6.088235294117647,0.0,0.0,11.96135265700483,0.19526867037435464,139.80667322098307,343.0015737520422,0.5537750489193913,0.8729147972138439,0.8762752703093613
james cook,RB,James Cook,BUF,0.0,0.0,2.566808256949103,318.925925925926,36.333333333333336,10.5,1213.0,0.0,267.9267754676206,274.7200431219589,16.160002536585818,2.1372549019607843,0.0,71.3529411764706,8.777777777777779,0.28538452691960825,130.6762577084475,321.20965592826946,0.5325293185658878,0.4856262855777983,-0.229583817059122
ashton jeanty,RB,Ashton Jeanty,LV,0.0,0.0,3.630640083945435,346.0,55.0,7.5,975.5,0.0,253.93384050367263,260.3723181139254,15.316018712583848,3.235294117647059,0.0,57.38235294117647,6.290909090909091,0.25649362799946906,119.98126083445435,304.30232131197744,0.5436698440506176,0.5580377203483644,-0.10432827858414839
devon achane,RB,De'Von Achane,MIA,0.0,0.0,4.333333333333334,425.6666666666667,57.333333333333336,5.5,988.0,0.0,257.70000000000005,264.2339683630633,15.543174609591958,3.372549019607843,0.0,58.11764705882353,7.424418604651163,0.2232869617994485,119.90604844618228,305.39995604522665,0.5065332250365641,0.6884065151750927,0.2760295083739961
ceedee lamb,WR,CeeDee Lamb,DAL,0.0,0.0,7.5,1188.0,92.5,0.0,0.0,0.0,256.3,263.15645848173966,15.47979167539645,5.4411764705882355,0.0,0.0,12.843243243243244,0.1710009332836592,119.1715182423612,313.0646214220653,0.5843227479241608,0.9081854329557267,0.9372235092696855
jonathan taylor,RB,Jonathan Taylor,IND,0.0,0.0,1.3333333333333333,222.33333333333334,27.666666666666668,11.5,1238.0,0.0,250.7,257.0564837742334,15.120969633778437,1.6274509803921569,0.0,72.82352941176471,8.036144578313253,0.2995450605619708,117.37841539163759,302.6761537316466,0.560987928349274,0.8290524855628315,1.0839149555920269
justin jefferson,WR,Justin Jefferson,MIN,0.0,0.0,7.5,1175.5,91.5,0.0,0.0,0.0,254.05,260.846267176301,15.343898069194177,5.382352941176471,0.0,0.0,12.846994535519126,0.17251540720567551,117.09670167751638,310.40561841485567,0.5944689066161443,0.9296176987231041,0.9506725125026096
derrick henry,RB,Derrick Henry,BAL,0.0,0.0,0.6513730966154666,181.40740740740745,20.666666666666668,12.5,1225.5,0.0,240.2656459871002,246.3575673282359,14.491621607543287,1.215686274509804,0.0,72.08823529411765,8.777777777777779,0.3202996337212527,110.80952390726851,292.0964814261711,0.5939573333294855,0.7874116730309538,0.7753580066818753
breece hall,RB,Breece Hall,NYJ,0.0,0.0,2.6666666666666665,474.6666666666667,56.333333333333336,5.5,900.5,0.0,242.85000000000002,249.00744748533145,14.64749691090185,3.3137254901960786,0.0,52.970588235294116,8.42603550295858,0.1967812629495208,110.39862467213918,290.770795088071,0.5335195524463548,0.679966792611907,0.28148519207256095
drake london,WR,Drake London,ATL,0.0,0.0,7.5,1100.5,87.5,0.0,0.0,0.0,242.55,249.03862272628152,14.649330748604795,5.147058823529412,0.0,0.0,12.577142857142857,0.18069486374191654,108.81390015075662,295.59220369133357,0.601506616608944,0.8451076511669476,0.7077682431752326
trey mcbride,TE,Trey McBride,ARI,0.0,0.0,6.5,950.5,98.5,0.0,0.0,0.0,232.55,235.03652033156368,13.82567766656257,5.794117647058823,0.0,0.0,9.649746192893401,0.16593166008832622,106.15047377582943,279.5212545457261,0.5993135445901425,0.9847689887234496,1.2752725648648218
aj brown,WR,A.J. Brown,NE,0.0,0.0,7.5,1100.5,79.5,0.0,0.0,0.0,234.55,240.82460919583315,14.166153482107832,4.676470588235294,0.0,0.0,13.842767295597485,0.18685797996419468,103.64606233167694,289.41698678785986,0.6200550418267329,0.8413714662145683,0.5726712399772875
saquon barkley,RB,Saquon Barkley,PHI,0.0,0.0,2.666666666666667,277.0,37.0,7.5,1063.0,0.0,232.0,237.88234637264523,13.993079198390896,2.176470588235294,0.0,62.529411764705884,7.486486486486487,0.2564292850232899,103.59411516888241,282.2678506282326,0.572507708605501,0.62668687880142,0.033309769667156264
javonte williams,RB,Javonte Williams,DAL,0.0,0.0,1.5077355836849509,268.0,44.666666666666664,9.5,938.0,0.0,231.3130801687764,237.17800972944966,13.951647631144098,2.627450980392157,0.0,55.1764705882353,6.0,0.27846769427506896,102.82700154642161,280.4614771979281,0.5899871060174371,0.7115150769488987,0.17568845036971492
josh allen,QB,Josh Allen,BUF,24.5,3600.5,0.0,0.0,0.0,10.5,500.5,10.458521999145665,344.61147800085433,357.36627510105365,21.021545594179628,0.0,211.7941176470588,29.441176470588236,0.0,0.450518169221406,100.82333746989075,404.0333948759872,0.40627177792516267,0.24964179865354572,0.08973093765218021
brock bowers,TE,Brock Bowers,LV,0.0,0.0,7.5,925.5,84.5,0.0,0.0,0.0,222.05,224.4242500091323,13.20142647112543,4.970588235294118,0.0,0.0,10.95266272189349,0.20051309071176068,99.2149464550395,268.8247821898545,0.5973449626900706,0.9176374957668785,1.2138958008098735
kyren williams,RB,Kyren Williams,LAR,0.0,0.0,2.339979013641133,223.0,34.0,9.5,950.5,0.0,222.3898740818468,228.02855627632258,13.413444486842504,2.0,0.0,55.911764705882355,6.5588235294117645,0.3115393757778365,98.17613558735104,271.98440717921613,0.615836596803787,0.6741527015964568,0.06874402815214209
george pickens,WR,George Pickens,DAL,0.0,0.0,7.5,1025.5,77.5,0.0,0.0,0.0,225.05,231.0704681284257,13.592380478142687,4.5588235294117645,0.0,0.0,13.23225806451613,0.1947457862723922,95.92518345698144,275.08156334542423,0.6231099676723032,0.8838159686109464,0.6666623646496586
chris olave,WR,Chris Olave,NO,0.0,0.0,5.5,1050.5,84.5,0.0,0.0,0.0,222.55,228.5035889001606,13.441387582362388,4.970588235294118,0.0,0.0,12.431952662721894,0.14441786301404042,94.69297392060722,272.5767373782259,0.5941976580000745,0.7136374687679119,0.25994380090525215
nico collins,WR,Nico Collins,HOU,0.0,0.0,6.5,1075.5,70.5,0.0,0.0,0.0,217.05,222.85645459797732,13.109203211645724,4.147058823529412,0.0,0.0,15.25531914893617,0.17500054046159078,91.3067094375814,266.76149811419725,0.6304584490501118,0.7845129091223423,0.42885602346150264
chase brown,RB,Chase Brown,CIN,0.0,0.0,3.3333333333333326,317.66666666666663,45.666666666666664,5.5,838.0,0.0,214.23333333333335,219.66520691623433,12.92148275977849,2.6862745098039214,0.0,49.294117647058826,6.956204379562044,0.24127626192622603,90.30950736298891,259.50003569326276,0.5936874469518049,0.7523591715995985,0.13179410476171416
devonta smith,WR,DeVonta Smith,PHI,0.0,0.0,5.5,1025.5,78.5,0.0,0.0,0.0,214.05,219.7761995240592,12.928011736709365,4.617647058823529,0.0,0.0,13.063694267515924,0.15015274661889605,88.5480026849305,266.0801553002897,0.6305784584390446,1.0591806688592331,1.8939982643538942
travis etienne,RB,Travis Etienne Jr.,NO,0.0,0.0,2.3333333333333335,340.6666666666667,44.333333333333336,5.0,838.0,0.0,206.20000000000002,211.42818888810106,12.436952287535357,2.607843137254902,0.0,49.294117647058826,7.684210526315789,0.20810848464150217,85.01234056934561,251.4312858002516,0.5912563947990191,0.8187726353251891,0.45511900482390466
zay flowers,WR,Zay Flowers,BAL,0.0,0.0,5.5,988.0,75.5,0.0,0.0,0.0,207.3,212.8456256077434,12.520330918102552,4.4411764705882355,0.0,0.0,13.086092715231787,0.15504194603846935,84.06416080289421,256.01123331598563,0.6480791548492271,1.0696355425970405,1.727967627901923
kenneth walker,RB,Kenneth Walker III,KC,0.0,0.0,0.6666666666666667,280.0,35.333333333333336,7.5,925.5,0.0,204.88333333333335,210.07813821544022,12.357537542084719,2.0784313725490198,0.0,54.44117647058823,7.924528301886792,0.2332465453865995,83.07229053823094,249.07522494594772,0.5901818397438453,0.7907471757639394,0.1891684889195111
tetairoa mcmilan,WR,Tetairoa McMilan,CAR,0.0,0.0,6.5,950.5,70.5,0.0,0.0,0.0,204.55,210.02205845665176,12.354238732744221,4.147058823529412,0.0,0.0,13.4822695035461,0.1856947802844697,82.95728816130551,253.28477433490215,0.6443376880494956,0.8254979659886056,0.4495865700953994
garrett wilson,WR,Garrett Wilson,NYJ,0.0,0.0,4.5,975.5,85.5,0.0,0.0,0.0,210.05,215.669192758835,12.686423103460882,5.029411764705882,0.0,0.0,11.409356725146198,0.12519173301766778,82.54472683688682,254.1461165754479,0.5720447188190644,0.7251298881196719,0.3697277665725065
davante adams,WR,Davante Adams,LAR,0.0,0.0,9.5,788.0,65.2283044058745,0.0,0.0,0.0,201.0283044058745,206.40615154911833,12.141538326418726,3.8369590826985,0.0,0.0,12.080645161290324,0.2761545601824554,80.72085952362355,249.65841249480607,0.6512432159013619,0.9064422624979769,1.2256119902391571
tetairoa mcmillan,WR,Tetairoa McMillan,CAR,0.0,0.0,6.5616370808678495,950.5,65.6163708086785,0.0,0.0,0.0,200.0361932938856,205.3874997869202,12.081617634524717,3.859786518157559,0.0,0.0,14.485714285714288,0.19168558225817747,80.7157135112527,249.60793745880358,0.6661180725537077,0.8315623246401161,0.20656394216755247
tee higgins,WR,Tee Higgins,CIN,0.0,0.0,7.5,863.0,65.5,0.0,0.0,0.0,196.8,202.0647328490299,11.886160755825287,3.8529411764705883,0.0,0.0,13.17557251908397,0.22270091057216393,77.39417033765156,243.778894981881,0.6568976040772254,0.8324843615047535,0.6197227915974648
omarion hampton,RB,Omarion Hampton,LAC,0.0,0.0,1.0,192.0,32.0,7.5,925.5,0.0,194.75,199.687874810658,11.746345577097529,1.8823529411764706,0.0,54.44117647058823,6.0,0.25539858165328105,77.01256237683951,237.88678031787956,0.6068807584882812,0.6927450304122929,-0.05489239029337156
trevor lawrence,QB,Trevor Lawrence,JAX,25.5,3750.5,0.0,0.0,0.0,5.758789777765813,304.3462951926897,12.119230449122865,304.888137736741,316.1726902932873,18.59839354666396,0.0,220.61764705882354,17.902723246628806,0.0,0.4318928954297924,75.6287289925746,357.2522863588377,0.4207483497087727,0.17616868078218073,0.19489436900327872
bucky irving,RB,Bucky Irving,TB,0.0,0.0,1.5000000000000002,334.50000000000006,38.5,4.5,800.5,0.0,188.00000000000003,192.76672895714356,11.339219350420208,2.264705882352941,0.0,47.088235294117645,8.688311688311689,0.18675421943795925,74.16521127917346,233.80886040483745,0.6483491560717435,1.0380535519154674,1.2356796873603146
drake maye,QB,Drake Maye,NE,25.5,3750.5,0.0,0.0,0.0,3.5,413.0,10.121289355322338,304.19871064467765,315.4577460515177,18.55633800303045,0.0,220.61764705882354,24.294117647058822,0.0,0.3899095886518911,73.95200493887783,356.26275726975626,0.4111741142721391,0.18673986293418227,-0.15515109005534544
jaylen waddle,WR,Jaylen Waddle,DEN,0.0,0.0,5.5,913.0,66.38755622188906,0.0,0.0,0.0,190.68755622188905,195.78877086184136,11.516986521284785,3.905150365993474,0.0,0.0,13.752577319587628,0.16854899213441868,73.51147951223479,235.07637188178958,0.6626163022619751,0.9362611775773567,0.6428188925433163
terry mclaurin,WR,Terry McLaurin,WAS,0.0,0.0,5.5,900.5,66.86548507462686,0.0,0.0,0.0,189.91548507462687,194.9960455055813,11.47035561797537,3.933263827919227,0.0,0.0,13.467336683417086,0.16923420120873914,72.58941135232195,234.23337035324118,0.6630910516510782,0.9064983643859953,0.528633363221203
