name_norm,position,player,team,pass_tds,pass_yards,rec_tds,rec_yards,receptions,rush_tds,rush_yards,interceptions,season_pts,ppg
aaron jones,RB,Aaron Jones,MIN,0.0,0.0,1.3333333333333335,280.0,36.333333333333336,2.443630714602752,500.5,0.0,137.04511762094984,8.061477507114697
aaron rodgers,QB,Aaron Rodgers,PIT,22.33356420556864,3100.5,0.0,0.0,0.0,0.576196903853527,96.80107984739253,7.730849148081451,218.76069708205353,12.868276298944325
aj brown,WR,A.J. Brown,NE,0.0,0.0,7.5,1100.5,79.5,0.0,0.0,0.0,234.55,13.797058823529412
amonra st brown,WR,Amon-Ra St. Brown,DET,0.0,0.0,9.5,1238.0,103.5,0.0,0.0,0.0,284.3,16.723529411764705
ashton jeanty,RB,Ashton Jeanty,LV,0.0,0.0,3.630640083945435,346.0,55.0,7.5,975.5,0.0,253.93384050367263,14.937284735510154
baker mayfield,QB,Baker Mayfield,TB,25.5,3500.5,0.0,0.0,0.0,1.4302933725586338,264.0321565743238,10.584170956933889,266.4208049358503,15.671812055050017
bhayshul tuten,RB,Bhayshul Tuten,JAX,0.0,0.0,0.8289611752360965,79.0,10.0,5.5,750.5,0.0,130.92376705141658,7.7013980618480335
bijan robinson,RB,Bijan Robinson,ATL,0.0,0.0,3.5,575.5,65.5,9.0,1163.0,0.0,314.35,18.491176470588236
blake corum,RB,Blake Corum,LAR,0.0,0.0,0.1645,47.0,7.5,4.252885624344176,675.5,0.0,106.25431374606505,6.250253749768532
bo nix,QB,Bo Nix,DEN,24.179470542434466,3450.5,0.0,0.0,0.0,4.029911757072411,351.9456267843239,10.29866337918505,283.81325201141965,16.694897177142334
breece hall,RB,Breece Hall,NYJ,0.0,0.0,2.6666666666666665,474.6666666666667,56.333333333333336,5.5,900.5,0.0,242.85000000000002,14.28529411764706
brian thomas,WR,Brian Thomas Jr.,JAX,0.0,0.0,4.5,700.5,47.54524886877828,0.0,0.0,0.0,144.59524886877827,8.505602874634016
brock bowers,TE,Brock Bowers,LV,0.0,0.0,7.5,925.5,84.5,0.0,0.0,0.0,222.05,13.061764705882354
brock purdy,QB,Brock Purdy,SF,27.5,3763.0,0.0,0.0,0.0,3.6495005334109205,224.0793327514305,12.043351760256037,292.78158471535255,17.22244615972662
bryce young,QB,Bryce Young,CAR,20.5,2888.0,0.0,0.0,0.0,2.7866361114461466,250.10059100229165,9.332179052677466,229.91769671622856,13.524570395072269
bucky irving,RB,Bucky Irving,TB,0.0,0.0,1.5000000000000002,334.50000000000006,38.5,4.5,800.5,0.0,188.00000000000003,11.058823529411766
caleb williams,QB,Caleb Williams,CHI,24.5,3613.0,0.0,0.0,0.0,2.2698847263867097,423.43993050915407,7.15700004158153,291.32630136765414,17.13684125692083
calvin ridley,WR,Calvin Ridley,TEN,0.0,0.0,3.5,550.5,36.99850171232877,0.0,0.0,0.0,113.04850171232877,6.649911865431104
cam skattebo,RB,Cam Skattebo,NYG,0.0,0.0,2.0,207.0,24.0,6.5,800.5,0.0,175.75,10.338235294117647
cam ward,QB,Cam Ward,TEN,19.5,3275.5,0.0,0.0,0.0,2.0672136320605867,164.34348374881665,7.235247712212054,230.62238245503315,13.566022497354892
carnell tate,WR,Carnell Tate,TEN,0.0,0.0,4.5,775.5,61.547619047619044,0.0,0.0,0.0,166.09761904761905,9.770448179271709
ceedee lamb,WR,CeeDee Lamb,DAL,0.0,0.0,7.5,1188.0,92.5,0.0,0.0,0.0,256.3,15.076470588235296
chase brown,RB,Chase Brown,CIN,0.0,0.0,3.3333333333333326,317.66666666666663,45.666666666666664,5.5,838.0,0.0,214.23333333333335,12.601960784313727
chris godwin,WR,Chris Godwin,TB,0.0,0.0,4.5,675.5,57.21071428571429,0.0,0.0,0.0,151.7607142857143,8.927100840336136
chris olave,WR,Chris Olave,NO,0.0,0.0,5.5,1050.5,84.5,0.0,0.0,0.0,222.55,13.091176470588236
christian mccaffrey,RB,Christian McCaffrey,SF,0.0,0.0,4.5,550.5,60.5,8.5,925.5,0.0,286.1,16.829411764705885
christian watson,WR,Christian Watson,GB,0.0,0.0,5.5,763.0,50.87184653476793,0.0,0.0,0.0,160.17184653476792,9.421873325574584
cj stroud,QB,C.J. Stroud,HOU,22.5,3550.5,0.0,0.0,0.0,1.3058109599117322,198.80971864656124,8.161318499448326,251.5745191246782,14.79850112498107
colston loveland,TE,Colston Loveland,CHI,0.0,0.0,5.5,800.5,70.5,0.0,0.0,0.0,183.55,10.797058823529412
courtland sutton,WR,Courtland Sutton,DEN,0.0,0.0,6.5,725.5,54.09651567944251,0.0,0.0,0.0,165.6465156794425,9.743912687026029
dak prescott,QB,Dak Prescott,DAL,27.5,4000.5,0.0,0.0,0.0,1.8108365019011408,171.3051330798479,9.77851711026616,288.2370152091255,16.955118541713265
dallas goedert,TE,Dallas Goedert,PHI,0.0,0.0,4.5,575.5,55.18493150684932,0.0,0.0,0.0,139.7349315068493,8.219701853344077
dalton kincaid,TE,Dalton Kincaid,BUF,0.0,0.0,3.5,550.5,50.75531914893617,0.0,0.0,0.0,126.80531914893618,7.459136420525658
daniel jones,QB,Daniel Jones,IND,18.5,3325.5,0.0,0.0,0.0,4.375657894736841,347.3178453947368,10.745900775512087,257.25983113238266,15.132931243081332
davante adams,WR,Davante Adams,LAR,0.0,0.0,9.5,788.0,65.2283044058745,0.0,0.0,0.0,201.0283044058745,11.825194376816148
david montgomery,RB,David Montgomery,HOU,0.0,0.0,0.7583333333333333,216.66666666666666,25.333333333333332,7.5,825.5,0.0,179.10000000000002,10.53529411764706
denzel boston,WR,Denzel Boston,CLE,0.0,0.0,3.003,500.5,39.72222222222222,0.0,0.0,0.0,107.79022222222223,6.340601307189543
derrick henry,RB,Derrick Henry,BAL,0.0,0.0,0.6513730966154666,181.40740740740745,20.666666666666668,12.5,1225.5,0.0,240.2656459871002,14.133273293358837
devon achane,RB,De'Von Achane,MIA,0.0,0.0,4.333333333333334,425.6666666666667,57.333333333333336,5.5,988.0,0.0,257.70000000000005,15.158823529411768
devonta smith,WR,DeVonta Smith,PHI,0.0,0.0,5.5,1025.5,78.5,0.0,0.0,0.0,214.05,12.591176470588236
dj moore,WR,DJ Moore,BUF,0.0,0.0,6.5,800.5,64.84794156706508,0.0,0.0,0.0,183.8979415670651,10.81752597453324
dk metcalf,WR,DK Metcalf,PIT,0.0,0.0,5.5,825.5,55.03893750255692,0.0,0.0,0.0,170.58893750255692,10.034643382503347
drake london,WR,Drake London,ATL,0.0,0.0,7.5,1100.5,87.5,0.0,0.0,0.0,242.55,14.26764705882353
drake maye,QB,Drake Maye,NE,25.5,3750.5,0.0,0.0,0.0,3.5,413.0,10.121289355322338,304.19871064467765,17.894041802628095
fernando mendoza,QB,Fernando Mendoza,LV,12.5,2125.5,0.0,0.0,0.0,1.0521224999999998,116.9025,5.73885,147.28413499999996,8.66377264705882
garrett wilson,WR,Garrett Wilson,NYJ,0.0,0.0,4.5,975.5,85.5,0.0,0.0,0.0,210.05,12.355882352941178
george kittle,TE,George Kittle,SF,0.0,0.0,5.5,700.5,53.25927120358598,0.0,0.0,0.0,156.30927120358598,9.194663011975646
george pickens,WR,George Pickens,DAL,0.0,0.0,7.5,1025.5,77.5,0.0,0.0,0.0,225.05,13.238235294117647
harold fannin,TE,Harold Fannin Jr.,CLE,0.0,0.0,5.5444596443228455,675.5,66.53351573187415,0.0,0.0,0.0,167.35027359781122,9.844133741047719
jacory croskeymerritt,RB,Jacory Croskey-Merritt,WAS,0.0,0.0,0.23800000000000002,68.0,9.0,5.967701863354037,600.5,0.0,113.08421118012423,6.652012422360249
jadarian price,RB,Jadarian Price,SEA,0.0,0.0,0.0,0.0,0.0,6.379250000000001,750.5,0.0,113.3255,6.6662058823529415
jahmyr gibbs,RB,Jahmyr Gibbs,DET,0.0,0.0,3.5,475.5,60.5,12.0,1200.5,0.0,321.1,18.88823529411765
jake ferguson,TE,Jake Ferguson,DAL,0.0,0.0,4.5,525.5,52.37598304399343,0.0,0.0,0.0,131.92598304399343,7.760351943764319
jakobi meyers,WR,Jakobi Meyers,JAX,0.0,0.0,3.7963656800299734,675.5,58.774261283191585,0.0,0.0,0.0,149.10245536337143,8.770732668433613
jalen coker,WR,Jalen Coker,CAR,0.0,0.0,3.58658256880734,625.5,46.62557339449541,0.0,0.0,0.0,130.69506880733945,7.687945223961144
jalen hurts,QB,Jalen Hurts,PHI,21.5,3200.5,0.0,0.0,0.0,8.0,400.5,8.333800701051578,293.73619929894846,17.278599958761674
jamarr chase,WR,Ja'Marr Chase,CIN,0.0,0.0,10.5,1325.5,109.5,0.0,0.0,0.0,305.05,17.944117647058825
james cook,RB,James Cook,BUF,0.0,0.0,2.566808256949103,318.925925925926,36.333333333333336,10.5,1213.0,0.0,267.9267754676206,15.760398556918858
jameson williams,WR,Jameson Williams,DET,0.0,0.0,5.5,900.5,60.039446663903696,0.0,0.0,0.0,183.08944666390371,10.769967450817866
jared goff,QB,Jared Goff,DET,29.5,4025.5,0.0,0.0,0.0,2.0603379514445246,125.68061503811599,9.356188262638002,294.5939009498407,17.329052997049452
javonte williams,RB,Javonte Williams,DAL,0.0,0.0,1.5077355836849509,268.0,44.666666666666664,9.5,938.0,0.0,231.3130801687764,13.606651774633905
jaxon smithnjigba,WR,Jaxon Smith-Njigba,SEA,0.0,0.0,8.5,1338.0,99.5,0.0,0.0,0.0,284.3,16.723529411764705
jaxson dart,QB,Jaxson Dart,NYG,19.5,3125.5,0.0,0.0,0.0,5.5,463.0,6.878301056338029,275.441698943662,16.20245287903894
