Player,Team,Pos,Market,Line,Over,Under,No-Vig Over %,Hold %,Book,As Of (UTC)
A.J. Brown,NE,WR,Receptions,79.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
A.J. Brown,NE,WR,Receiving Yards,1100.5,-106,-115,49.0%,4.9%,BetRivers,2026-08-18T00:38:27
A.J. Brown,NE,WR,Receiving Yards,1100.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
A.J. Brown,NE,WR,Receiving TDs,7.5,+110,-134,45.4%,4.9%,BetRivers,2026-08-18T00:38:27
Aaron Jones,MIN,RB,Rushing Yards,500.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Aaron Rodgers,PIT,QB,Passing Yards,3050.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Aaron Rodgers,PIT,QB,Passing Yards,3150.5,+100,-121,47.7%,4.8%,BetRivers,2026-08-18T00:38:27
Amon-Ra St. Brown,DET,WR,Receptions,103.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Amon-Ra St. Brown,DET,WR,Receiving Yards,1225.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Amon-Ra St. Brown,DET,WR,Receiving Yards,1250.5,+100,-121,47.7%,4.8%,BetRivers,2026-08-18T00:38:27
Amon-Ra St. Brown,DET,WR,Receiving TDs,9.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Ashton Jeanty,LV,RB,Rushing Yards,975.5,-115,-106,51.0%,4.9%,BetRivers,2026-08-18T00:38:27
Ashton Jeanty,LV,RB,Rushing Yards,975.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Ashton Jeanty,LV,RB,Rushing TDs,7.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Ashton Jeanty,LV,RB,Rushing TDs,7.5,-108,-122,48.6%,6.9%,FanDuel,2026-08-18T00:38:27
Baker Mayfield,TB,QB,Passing Yards,3500.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Baker Mayfield,TB,QB,Passing Yards,3500.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Baker Mayfield,TB,QB,Passing TDs,25.5,-102,-130,47.2%,7.0%,FanDuel,2026-08-18T00:38:27
Bhayshul Tuten,JAX,RB,Rushing Yards,750.5,-106,-115,49.0%,4.9%,BetRivers,2026-08-18T00:38:27
Bhayshul Tuten,JAX,RB,Rushing TDs,5.5,-106,-115,49.0%,4.9%,BetRivers,2026-08-18T00:38:27
Bijan Robinson,ATL,RB,Rushing Yards,1150.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Bijan Robinson,ATL,RB,Rushing Yards,1175.5,-106,-115,49.0%,4.9%,BetRivers,2026-08-18T00:38:27
Bijan Robinson,ATL,RB,Rushing TDs,8.5,-121,+100,52.3%,4.8%,BetRivers,2026-08-18T00:38:27
Bijan Robinson,ATL,RB,Rushing TDs,9.5,+108,-144,44.9%,7.1%,FanDuel,2026-08-18T00:38:27
Bijan Robinson,ATL,RB,Receptions,65.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Bijan Robinson,ATL,RB,Receiving Yards,575.5,-106,-115,49.0%,4.9%,BetRivers,2026-08-18T00:38:27
Bijan Robinson,ATL,RB,Receiving TDs,3.5,+105,-127,46.6%,4.7%,BetRivers,2026-08-18T00:38:27
Blake Corum,LAR,RB,Rushing Yards,675.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Bo Nix,DEN,QB,Passing Yards,3450.5,-106,-115,49.0%,4.9%,BetRivers,2026-08-18T00:38:27
Breece Hall,NYJ,RB,Rushing Yards,900.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Breece Hall,NYJ,RB,Rushing TDs,5.5,+116,-154,43.3%,6.9%,FanDuel,2026-08-18T00:38:27
Brian Thomas Jr.,JAX,WR,Receiving Yards,700.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Brian Thomas Jr.,JAX,WR,Receiving TDs,4.5,-115,-106,51.0%,4.9%,BetRivers,2026-08-18T00:38:27
Brock Bowers,LV,TE,Receptions,84.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Brock Bowers,LV,TE,Receiving Yards,900.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Brock Bowers,LV,TE,Receiving Yards,950.5,-106,-115,49.0%,4.9%,BetRivers,2026-08-18T00:38:27
Brock Bowers,LV,TE,Receiving TDs,7.5,+120,-148,43.2%,5.1%,BetRivers,2026-08-18T00:38:27
Brock Purdy,SF,QB,Passing Yards,3750.5,-115,-106,51.0%,4.9%,BetRivers,2026-08-18T00:38:27
Brock Purdy,SF,QB,Passing Yards,3775.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Brock Purdy,SF,QB,Passing TDs,27.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Bryce Young,CAR,QB,Passing Yards,2875.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Bryce Young,CAR,QB,Passing Yards,2900.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Bryce Young,CAR,QB,Passing TDs,20.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Bucky Irving,TB,RB,Rushing Yards,800.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Bucky Irving,TB,RB,Rushing TDs,4.5,-127,+105,53.4%,4.7%,BetRivers,2026-08-18T00:38:27
C.J. Stroud,HOU,QB,Passing Yards,3550.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
C.J. Stroud,HOU,QB,Passing Yards,3550.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
C.J. Stroud,HOU,QB,Passing TDs,22.5,-122,-108,51.4%,6.9%,FanDuel,2026-08-18T00:38:27
Caleb Williams,CHI,QB,Passing Yards,3575.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Caleb Williams,CHI,QB,Passing Yards,3650.5,-115,-106,51.0%,4.9%,BetRivers,2026-08-18T00:38:27
Caleb Williams,CHI,QB,Passing TDs,24.5,+100,-132,46.8%,6.9%,FanDuel,2026-08-18T00:38:27
Calvin Ridley,TEN,WR,Receiving Yards,550.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Calvin Ridley,TEN,WR,Receiving TDs,3.5,+115,-139,44.4%,4.7%,BetRivers,2026-08-18T00:38:27
Cam Skattebo,NYG,RB,Rushing Yards,800.5,-106,-115,49.0%,4.9%,BetRivers,2026-08-18T00:38:27
Cam Skattebo,NYG,RB,Rushing TDs,6.5,+110,-134,45.4%,4.9%,BetRivers,2026-08-18T00:38:27
Cam Ward,TEN,QB,Passing Yards,3250.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Cam Ward,TEN,QB,Passing Yards,3300.5,-106,-115,49.0%,4.9%,BetRivers,2026-08-18T00:38:27
Cam Ward,TEN,QB,Passing TDs,19.5,+102,-136,46.2%,7.1%,FanDuel,2026-08-18T00:38:27
Carnell Tate,TEN,WR,Receiving Yards,775.5,-118,-104,51.5%,5.1%,BetRivers,2026-08-18T00:38:27
Carnell Tate,TEN,WR,Receiving Yards,775.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Carnell Tate,TEN,WR,Receiving TDs,4.5,+105,-127,46.6%,4.7%,BetRivers,2026-08-18T00:38:27
CeeDee Lamb,DAL,WR,Receptions,92.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
CeeDee Lamb,DAL,WR,Receiving Yards,1175.5,-115,-106,51.0%,4.9%,BetRivers,2026-08-18T00:38:27
CeeDee Lamb,DAL,WR,Receiving Yards,1200.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
CeeDee Lamb,DAL,WR,Receiving TDs,7.5,-121,+100,52.3%,4.8%,BetRivers,2026-08-18T00:38:27
Chase Brown,CIN,RB,Rushing Yards,825.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Chase Brown,CIN,RB,Rushing Yards,850.5,-115,-106,51.0%,4.9%,BetRivers,2026-08-18T00:38:27
Chase Brown,CIN,RB,Rushing TDs,5.5,-121,+100,52.3%,4.8%,BetRivers,2026-08-18T00:38:27
Chase Brown,CIN,RB,Rushing TDs,5.5,-144,+108,55.1%,7.1%,FanDuel,2026-08-18T00:38:27
Chris Godwin,TB,WR,Receiving Yards,675.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Chris Godwin,TB,WR,Receiving TDs,4.5,-121,+100,52.3%,4.8%,BetRivers,2026-08-18T00:38:27
Chris Olave,NO,WR,Receptions,84.5,-115,-106,51.0%,4.9%,BetRivers,2026-08-18T00:38:27
Chris Olave,NO,WR,Receiving Yards,1050.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Chris Olave,NO,WR,Receiving Yards,1050.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Chris Olave,NO,WR,Receiving TDs,5.5,-115,-106,51.0%,4.9%,BetRivers,2026-08-18T00:38:27
Christian McCaffrey,SF,RB,Rushing Yards,900.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Christian McCaffrey,SF,RB,Rushing Yards,950.5,+100,-121,47.7%,4.8%,BetRivers,2026-08-18T00:38:27
Christian McCaffrey,SF,RB,Rushing TDs,8.5,+110,-134,45.4%,4.9%,BetRivers,2026-08-18T00:38:27
Christian McCaffrey,SF,RB,Rushing TDs,8.5,+106,-140,45.4%,6.9%,FanDuel,2026-08-18T00:38:27
Christian McCaffrey,SF,RB,Receptions,60.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Christian McCaffrey,SF,RB,Receiving Yards,550.5,-115,-106,51.0%,4.9%,BetRivers,2026-08-18T00:38:27
Christian McCaffrey,SF,RB,Receiving Yards,550.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Christian McCaffrey,SF,RB,Receiving TDs,4.5,+115,-139,44.4%,4.7%,BetRivers,2026-08-18T00:38:27
Christian Watson,GB,WR,Receiving Yards,750.5,-121,+100,52.3%,4.8%,BetRivers,2026-08-18T00:38:27
Christian Watson,GB,WR,Receiving Yards,775.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Christian Watson,GB,WR,Receiving TDs,5.5,-139,+115,55.6%,4.7%,BetRivers,2026-08-18T00:38:27
Colston Loveland,CHI,TE,Receptions,70.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Colston Loveland,CHI,TE,Receiving Yards,800.5,-115,-106,51.0%,4.9%,BetRivers,2026-08-18T00:38:27
Colston Loveland,CHI,TE,Receiving Yards,800.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Colston Loveland,CHI,TE,Receiving TDs,5.5,-139,+115,55.6%,4.7%,BetRivers,2026-08-18T00:38:27
Courtland Sutton,DEN,WR,Receiving Yards,725.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Courtland Sutton,DEN,WR,Receiving Yards,725.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Courtland Sutton,DEN,WR,Receiving TDs,6.5,-139,+115,55.6%,4.7%,BetRivers,2026-08-18T00:38:27
DJ Moore,BUF,WR,Receiving Yards,800.5,-115,-106,51.0%,4.9%,BetRivers,2026-08-18T00:38:27
DJ Moore,BUF,WR,Receiving TDs,6.5,+125,-152,42.4%,4.8%,BetRivers,2026-08-18T00:38:27
DK Metcalf,PIT,WR,Receiving Yards,825.5,+100,-121,47.7%,4.8%,BetRivers,2026-08-18T00:38:27
DK Metcalf,PIT,WR,Receiving TDs,5.5,-106,-115,49.0%,4.9%,BetRivers,2026-08-18T00:38:27
Dak Prescott,DAL,QB,Passing Yards,4000.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Dak Prescott,DAL,QB,Passing Yards,4000.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Dak Prescott,DAL,QB,Passing TDs,27.5,-108,-122,48.6%,6.9%,FanDuel,2026-08-18T00:38:27
